purchase_date,purchase_price,quantity,total_price,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,product_category,employee_department,transaction_id,customer_id,product_id,employee_id
5/24/2001,111.25,567,4625.11,credit card,34 Fairfield Court,Garibaldi,,Brazil,95720-000,Food - Snacks,Marketing,8124,781,67,69
2/27/2007,175.89,147,9067.89,credit card,906 Jenifer Point,Maripipi,,Philippines,6546,Food - Dairy,Services,8125,210,75,92
3/17/2006,712.6,345,864.96,credit card,3 Ridgeview Court,Chaykovskaya,,Russia,617010,Food - Condiments,Business Development,8126,679,90,87
3/17/2006,15.09,535,5420.38,cash,9 Del Mar Point,Larvik,07,Norway,3260,Kitchen,Sales,8127,387,9,77
11/12/2024,106.52,134,740.58,credit card,01 Brickson Park Parkway,San Cristóbal,,Dominican Republic,11511,Food - Prepared Meals,Support,8128,198,97,36
7/28/2016,515.14,491,9696.17,PayPal,80955 Homewood Plaza,Jedlińsk,,Poland,26-660,Smart Home,Marketing,8129,808,31,68
1/13/2022,332.21,715,9945.19,cash,2 Loftsgordon Road,Urpay,,Peru,,Pets,Training,8130,993,33,66
5/12/2004,539.24,455,3588.72,PayPal,8995 Coleman Pass,Sancha,,China,,Food - Fresh Produce,Legal,8131,24,84,77
1/4/2021,810.64,504,2846.97,PayPal,5 Bluejay Circle,Metz,B2,France,57045 CEDEX 01,Pets,Marketing,8132,447,32,28
7/1/2008,743.01,676,7415.46,cash,27247 Steensland Plaza,An Lão,,Vietnam,,Food - Snacks,Legal,8133,266,5,74
2/15/2003,484.59,596,5676.0,debit card,55 Orin Point,Vidual,06,Portugal,3220-350,Food - Canned Goods,Engineering,8134,448,37,49
3/4/2008,836.36,88,1860.68,debit card,40 Blue Bill Park Pass,Stari Grad,,Croatia,21460,Clothing - Accessories,Sales,8135,261,37,30
7/24/2024,985.44,878,4578.2,credit card,83 Schlimgen Pass,A’ershan,,China,,Food - Breakfast,Product Management,8136,334,92,24
12/7/2012,653.96,308,5607.42,PayPal,876 Coolidge Crossing,Onokivtsi,,Ukraine,,Food - Beverages,Business Development,8137,754,97,61
10/17/2012,630.66,788,9180.68,credit card,730 Aberg Hill,San Bernardino,CA,United States,92415,Food - Breakfast,Accounting,8138,967,25,49
3/10/2003,663.96,373,9993.84,cash,2661 Roxbury Avenue,Bandar Pusat Jengka,PHG,Malaysia,26485,Food - Prepared Meals,Services,8139,979,25,91
10/4/2009,255.96,681,3859.63,credit card,0 Morningstar Way,Kathu,,Thailand,83120,Food - Snacks,Training,8140,784,98,55
9/22/2004,445.12,506,3788.37,PayPal,41082 Hintze Park,Rafael Hernandez Ochoa,VER,Mexico,93995,Home Improvement,Services,8141,990,71,59
7/31/2019,970.6,74,344.65,cash,7 Havey Way,Church End,ENG,United Kingdom,N3,Fitness,Marketing,8142,562,84,51
8/15/2013,414.3,971,5647.77,PayPal,47 Autumn Leaf Street,Xing’an,,China,,Food - Condiments,Services,8143,66,70,7
6/10/2021,151.55,81,4630.54,PayPal,6 Walton Parkway,Santa Cruz,VER,Mexico,92733,Food - Baking,Marketing,8144,788,45,39
7/27/2009,684.09,680,7162.11,credit card,49 Sachs Terrace,Portobelo,,Panama,,Food - Canned Goods,Sales,8145,157,25,10
3/14/2018,83.05,570,8702.73,debit card,413 Doe Crossing Way,Songfeng,,China,,Fitness,Marketing,8146,687,62,15
10/19/2016,28.64,280,1040.55,PayPal,07103 Paget Avenue,Ureshino,,Japan,859-3802,Food - Dairy,Marketing,8147,824,72,98
9/15/2002,551.94,536,1177.82,cash,983 Marcy Crossing,Magangué,,Colombia,132527,Food - Cereals,Training,8148,825,2,18
8/31/2016,134.74,798,8441.16,debit card,45916 Little Fleur Center,Talitsa,,Russia,301070,Kitchen,Business Development,8149,448,24,84
5/30/2007,392.31,204,550.28,cash,48 Northwestern Court,Fredericton,NB,Canada,E3G,Clothing - Bottoms,Marketing,8150,499,2,16
3/20/2010,533.24,572,9215.12,credit card,27 Sachtjen Hill,Montréal,QC,Canada,H5B,Home,Support,8151,456,45,97
1/9/2012,302.98,690,4136.63,credit card,16893 Jenifer Crossing,Delaware,ON,Canada,M3H,Toys,Support,8152,193,74,98
4/2/2018,566.41,545,9843.55,credit card,60435 Lyons Junction,Turgun,,China,,Electronics,Human Resources,8153,737,34,9
10/28/2022,532.23,723,8559.02,PayPal,63287 Gale Court,Loughrea,,Ireland,H62,Clothing,Support,8154,915,73,8
11/30/2004,20.42,459,3228.23,credit card,8 Mesta Parkway,Carvalheira,16,Portugal,4950-740,Kitchen,Engineering,8155,966,33,78
9/27/2015,603.92,183,8240.13,cash,75968 Independence Crossing,Novi Karlovci,,Serbia,,Wearable Tech,Support,8156,602,77,37
1/19/2002,565.51,550,365.97,credit card,387 Hollow Ridge Hill,Changbai,,China,,Automotive,Product Management,8157,646,45,67
6/10/2010,406.43,937,5845.98,PayPal,1 Hanover Court,Kaeng Khoi,,Thailand,18110,Food - Breakfast,Human Resources,8158,786,28,94
11/25/2004,341.25,265,2946.97,PayPal,8398 Scoville Parkway,Älvsbyn,BD,Sweden,942 31,Food - Grains,Training,8159,832,92,50
6/30/2002,620.68,777,9194.76,PayPal,22801 Mockingbird Court,Armen,,Albania,,Home,Research and Development,8160,356,40,80
8/21/2025,957.13,161,1975.03,cash,05 Oneill Terrace,Yongyang,,China,,Food - Cooking Kits,Engineering,8161,871,76,37
1/16/2020,68.22,459,7717.9,debit card,15 Fair Oaks Center,Daqian,,China,,Kitchen,Accounting,8162,423,83,59
12/2/2000,525.23,944,8690.64,debit card,86 Burning Wood Plaza,Nogliki,,Russia,632498,Food - Confectionery,Training,8163,714,8,90
11/26/2017,184.37,353,5540.36,debit card,4 Charing Cross Plaza,Comilla,,Bangladesh,1981,Food - Breakfast,Product Management,8164,922,8,32
7/1/2009,892.02,579,4093.58,PayPal,70047 Holmberg Park,Baishuiyang,,China,,Outdoor,Sales,8165,824,4,25
4/21/2019,840.07,327,3808.35,PayPal,2169 Linden Road,Kikinda,,Serbia,,Accessories,Accounting,8166,918,74,79
4/11/2006,833.54,23,2335.13,PayPal,44701 Fairfield Street,Salta,,Argentina,4400,Tools,Accounting,8167,182,72,58
1/27/2019,344.57,473,9634.47,debit card,40588 Rigney Center,Lembongan Kawan,,Indonesia,,Food - Prepared Meals,Sales,8168,987,80,77
3/26/2014,435.05,25,3710.48,cash,421 Aberg Crossing,Stadtbredimus,,Luxembourg,L-5451,Home,Business Development,8169,173,20,69
7/11/2005,397.8,406,8259.32,credit card,3773 South Park,Carpiquet,99,France,14654 CEDEX,Food - Cereals,Sales,8170,411,13,77
1/7/2013,440.32,37,3650.09,credit card,8561 Anniversary Alley,Juhaynah,,Egypt,,Clothing - Tops,Services,8171,601,99,62
6/18/2000,891.49,269,7999.03,credit card,73514 Alpine Park,New Westminster,BC,Canada,V4C,Food - Snacks,Sales,8172,495,8,79
10/20/2003,596.56,547,6054.97,cash,7 Mccormick Circle,Puwa,,China,,Food - Condiments,Business Development,8173,978,34,54
4/30/2023,126.87,121,4289.91,credit card,03207 Scofield Place,Duobagou,,China,,Pets,Accounting,8174,414,67,24
8/5/2004,621.06,140,9731.77,credit card,601 Hermina Junction,Saint-Denis,RE,Reunion,97417,Fitness,Product Management,8175,1,15,77
3/5/2004,858.8,74,7771.36,credit card,2 Porter Lane,Barlinek,,Poland,74-320,Food - Snacks,Accounting,8176,932,23,66
12/2/2007,78.5,822,2535.41,credit card,68358 Thompson Junction,Huaqiao,,China,,Fitness,Sales,8177,148,69,3
9/10/2010,333.49,662,4921.14,cash,6 Express Lane,Peteranec,,Croatia,48321,Food - Dairy,Product Management,8178,391,25,35
8/17/2007,376.02,254,1489.83,cash,51632 Spenser Avenue,Tampa,FL,United States,33647,Pets,Legal,8179,716,30,18
8/13/2013,315.14,416,8525.86,PayPal,7 Summerview Hill,Ambatofinandrahana,,Madagascar,,Food - Beverages,Support,8180,980,5,68
2/23/2024,552.59,756,8106.07,credit card,9220 Acker Circle,Đức Phong,,Vietnam,,Home,Research and Development,8181,148,22,49
2/18/2009,822.1,579,9267.18,credit card,27648 Florence Place,Geshan,,China,,Food - Condiments,Human Resources,8182,423,38,34
8/12/2023,508.09,848,9419.38,PayPal,262 Southridge Lane,Kashar,,Albania,,Fitness,Human Resources,8183,514,7,10
1/18/2000,279.39,834,6890.57,debit card,39 Burrows Pass,Mojogajeh,,Indonesia,,Pets,Product Management,8184,420,72,6
10/5/2008,979.85,878,4733.18,PayPal,7947 Pine View Street,Sandy Bay,,Honduras,,Food - Meat,Accounting,8185,732,13,83
12/21/2019,160.99,124,1463.03,debit card,4 Sutherland Terrace,Kampokpok,,Philippines,6536,Food - Snacks,Support,8186,798,78,15
1/9/2016,291.31,759,6806.09,PayPal,67194 Kings Pass,Kanash,,Russia,429337,Outdoor,Product Management,8187,308,33,75
7/24/2006,473.42,985,2784.25,PayPal,0 Warrior Point,Bin’an,,China,,Food - Canned Soups,Human Resources,8188,317,67,52
10/6/2023,711.09,293,9689.11,credit card,1650 Mifflin Road,Hamilton,,Bermuda,,Food - Snacks,Research and Development,8189,881,30,18
12/5/2014,730.03,696,6659.72,debit card,36978 Autumn Leaf Drive,Jackson,MS,United States,39216,Smart Home,Support,8190,935,31,57
9/27/2005,470.71,749,5395.03,PayPal,21937 La Follette Junction,Omsukchan,,Russia,686416,Food - Meat,Accounting,8191,437,38,1
4/21/2011,172.98,823,3492.54,PayPal,2782 Arizona Pass,Cikalong,,Indonesia,,Food - Beverages,Legal,8192,322,16,48
3/24/2002,641.42,865,2185.22,PayPal,06 Carey Trail,Reno,NV,United States,89550,Food - Dairy,Training,8193,585,91,76
8/27/2009,106.23,880,6645.99,cash,340 La Follette Trail,Jurm,,Afghanistan,,Home,Accounting,8194,252,56,97
8/18/2022,948.76,722,2181.06,cash,1502 Miller Parkway,Mohale’s Hoek,,Lesotho,,Food - Breakfast,Research and Development,8195,658,32,71
11/20/2020,361.51,591,2554.95,PayPal,64 Armistice Court,Tanjung Raja,,Indonesia,,Safety,Human Resources,8196,848,20,94
11/15/2024,658.45,871,284.49,cash,75 Oxford Court,Saint-Gratien,A8,France,95219 CEDEX,Food - Frozen Foods,Support,8197,149,65,5
12/19/2001,177.73,472,9469.88,credit card,56 Green Circle,Ourozinho,18,Portugal,3630-139,Food - Snacks,Research and Development,8198,920,30,89
10/15/2025,519.96,722,1074.72,cash,09886 Mallory Junction,Rajadesa,,Indonesia,,Food - Frozen Foods,Training,8199,871,78,40
2/16/2011,439.34,62,5650.96,PayPal,812 South Crossing,Binangun,,Indonesia,,Bathroom,Product Management,8200,182,76,13
6/4/2004,460.34,33,7363.9,debit card,1145 Service Avenue,Pale,,Bosnia and Herzegovina,,Food - Spices & Seasonings,Legal,8201,966,97,42
10/13/2025,773.53,588,9046.93,cash,8489 Monterey Junction,Tianzhuang,,China,,Food - Snacks,Support,8202,296,57,36
2/4/2005,693.96,225,9544.96,cash,236 Northland Point,Zaprudnya,,Russia,141960,Food - Spreads,Research and Development,8203,724,86,56
10/20/2013,665.86,621,4795.01,cash,10536 Packers Plaza,Laascaanood,,Somalia,,Outdoor,Research and Development,8204,831,54,74
9/3/2015,667.32,700,4150.42,debit card,51 Bay Point,Ribeiro,17,Portugal,5030-566,Food - Snacks,Services,8205,335,11,84
5/9/2018,542.47,223,7844.73,debit card,72 Lillian Hill,Praingkareha,,Indonesia,,Home,Training,8206,482,70,36
1/29/2012,788.86,151,890.23,PayPal,2 Weeping Birch Way,Damāvand,,Iran,,Food - Snacks,Accounting,8207,656,4,65
9/13/2014,135.47,745,4317.7,debit card,54246 Badeau Place,Puerto Aisén,,Chile,,Kitchen,Human Resources,8208,106,23,75
8/25/2010,135.53,847,892.11,PayPal,25464 Clemons Park,Zwierzyń,,Poland,66-542,Food - Canned Goods,Legal,8209,270,10,83
1/10/2004,28.98,559,4476.34,cash,2828 Katie Parkway,Moss,01,Norway,1513,Office,Business Development,8210,14,40,90
11/12/2006,226.28,730,455.26,credit card,26 Village Green Avenue,Tanabe,,Japan,610-0331,Fitness,Marketing,8211,311,10,96
12/25/2017,255.92,427,8067.41,credit card,18 3rd Way,Serang,,Indonesia,,Food - Snacks,Training,8212,659,76,5
3/18/2015,338.76,406,6175.06,debit card,5 Merchant Crossing,Liji,,China,,Home,Training,8213,601,46,3
5/24/2005,857.68,779,2591.14,PayPal,15268 Sunnyside Crossing,San Miguel,MIC,Mexico,58805,Home,Business Development,8214,706,52,81
7/20/2002,687.25,357,8698.38,debit card,77331 Cody Terrace,Paurito,,Bolivia,,Travel,Support,8215,317,28,67
5/17/2003,764.57,698,9391.51,PayPal,35 John Wall Lane,Tengjia,,China,,Food - Bakery,Marketing,8216,291,53,77
7/8/2017,301.21,400,115.41,PayPal,496 Talmadge Point,Garajati,,Indonesia,,Home,Services,8217,21,3,47
12/2/2015,860.08,124,6136.64,cash,661 Lerdahl Crossing,Kawaliwu,,Indonesia,,Food - Condiments,Accounting,8218,342,82,64
2/4/2020,865.42,792,1604.68,debit card,430 Brown Point,Kez,,Russia,427580,Fitness,Services,8219,77,2,72
11/11/2005,648.96,96,9629.73,PayPal,45812 Arkansas Avenue,Tolotangga,,Indonesia,,Food - Supplements,Marketing,8220,39,79,8
5/31/2024,766.68,271,3894.57,credit card,7036 Drewry Center,Maia,13,Portugal,4425-005,Home Appliances,Engineering,8221,281,7,29
4/8/2019,987.12,338,4810.33,cash,9 Hazelcrest Trail,Pyhäntä,,Finland,92930,Food - Snacks,Support,8222,546,68,31
11/2/2025,57.91,46,3260.0,credit card,029 Veith Terrace,Slobodnica,,Croatia,35252,Art Supplies,Legal,8223,555,49,82
10/17/2005,847.83,93,2965.52,PayPal,7248 Maywood Avenue,Przybyszówka,,Poland,36-047,Home,Accounting,8224,509,43,84
3/23/2023,243.69,756,7876.67,PayPal,1 Ohio Park,Maipú,,Argentina,5517,Toys,Legal,8225,296,30,68
3/24/2016,793.21,786,5058.13,credit card,1207 Muir Hill,Gandra,13,Portugal,4585-067,Outdoor,Support,8226,394,30,54
5/20/2012,238.59,166,3527.98,cash,83 Carioca Plaza,Ambarakaraka,,Madagascar,,Food - Desserts,Services,8227,174,13,26
3/30/2010,670.54,463,4555.97,PayPal,608 Kensington Avenue,La Cruz,,Costa Rica,51001,Food - Pasta,Product Management,8228,138,82,96
10/3/2003,914.8,313,9019.74,cash,0 Dorton Avenue,Enhtal,,Mongolia,,Food - Produce,Product Management,8229,241,26,88
8/26/2007,592.23,857,3810.57,PayPal,76556 Comanche Street,Pagatin,,Philippines,9607,Home,Sales,8230,413,6,88
10/20/2004,45.25,520,3957.1,debit card,5738 Fulton Court,Camgyai,,China,,Food - Beverages,Accounting,8231,115,97,19
6/7/2020,772.76,131,2392.25,debit card,4 Mccormick Hill,Crépy-en-Valois,B6,France,60804 CEDEX,Outdoor,Research and Development,8232,877,13,3
6/10/2024,788.37,300,2026.35,credit card,64147 Northridge Crossing,Zhambyl,,Kazakhstan,,Tools,Accounting,8233,621,41,63
3/4/2013,894.67,667,7169.22,credit card,50145 Almo Road,Mander,,Indonesia,,Food - Condiments,Product Management,8234,119,60,23
11/2/2007,173.4,88,9746.61,PayPal,6027 Blackbird Plaza,Antsirabe,,Madagascar,,Food - Snacks,Accounting,8235,993,82,80
1/8/2002,239.99,905,2138.4,debit card,691 Browning Court,Jifnā,,Palestinian Territory,,Home,Support,8236,467,99,9
8/1/2012,367.25,735,2394.3,credit card,38125 Nevada Alley,Cajuru,,Brazil,14240-000,Food - Oils & Vinegars,Accounting,8237,686,27,13
1/5/2021,599.4,526,2694.85,PayPal,3 Charing Cross Road,Shanghang,,China,,Food - Condiments,Legal,8238,885,90,71
4/16/2009,672.0,204,8530.85,cash,6484 Troy Lane,Kyrenia,,Cyprus,,Outdoor,Support,8239,70,24,47
12/28/2003,692.03,48,2940.49,PayPal,4 Knutson Crossing,Laval,B5,France,53009 CEDEX,Food - Bakery,Legal,8240,823,90,88
4/4/2002,515.21,829,8299.17,PayPal,20049 Roth Center,Xiaoyue,,China,,Food - Snacks,Sales,8241,422,81,99
11/3/2015,81.01,998,6179.84,debit card,72 Grasskamp Drive,Vindeln,AC,Sweden,922 81,Food - Beverages,Product Management,8242,995,7,68
4/22/2015,987.58,584,8878.84,PayPal,24074 Hollow Ridge Parkway,Heting,,China,,Fitness,Accounting,8243,51,28,1
10/4/2022,113.75,511,220.49,credit card,28099 Schiller Circle,Zorgo,,Burkina Faso,,Food - Salads,Product Management,8244,428,62,30
10/11/2001,880.39,69,8484.77,cash,70194 Riverside Crossing,Khlung,,Thailand,22110,Outdoor,Services,8245,259,72,53
5/15/2012,218.86,568,801.54,credit card,6 Jackson Junction,Mandalay,,Myanmar,,Garden,Business Development,8246,491,97,47
2/3/2019,435.53,22,5765.32,debit card,68 Hooker Circle,Alfeizerão,10,Portugal,2460-105,Kitchen,Accounting,8247,70,40,96
4/13/2001,897.52,635,1710.89,debit card,187 Pierstorff Avenue,Krouna,,Czech Republic,539 43,Food - Household,Sales,8248,27,58,59
3/4/2001,486.6,606,5329.82,credit card,0 Stoughton Crossing,Cuenca,,Peru,,Food - Nuts,Support,8249,616,33,50
3/22/2005,968.86,891,649.73,debit card,11 Ohio Point,Nal’chik,,Russia,361424,Food - Produce,Research and Development,8250,135,74,9
9/6/2016,616.32,743,6348.16,credit card,99 Schiller Center,Gaotang,,China,,Food - Meat,Services,8251,316,55,73
1/26/2021,358.32,292,5555.87,credit card,034 Onsgard Point,Shuangtang,,China,,Clothing - Shirts,Marketing,8252,138,42,35
12/6/2001,567.79,532,1390.1,PayPal,03 Loeprich Center,Condoroma,,Peru,,Clothing - Pants,Marketing,8253,270,59,95
12/1/2004,15.56,586,1006.43,cash,8 Kropf Way,Czyżowice,,Poland,44-352,Food - Baking Goods,Business Development,8254,641,65,47
3/31/2022,988.34,313,299.41,credit card,5 Meadow Vale Drive,Louredo,01,Portugal,4525-355,Food - Grains,Sales,8255,610,12,12
7/10/2020,894.49,385,8096.6,PayPal,27 Debs Parkway,Liuqiao,,China,,Kitchen,Marketing,8256,950,31,11
10/7/2002,506.58,876,7493.62,cash,17 School Road,Yanglinwei,,China,,Fitness,Business Development,8257,476,21,95
6/4/2003,776.49,567,5519.48,debit card,083 Graceland Park,Sumuragung,,Indonesia,,Audio,Accounting,8258,431,10,12
4/3/2015,27.78,180,8523.84,debit card,7 Golden Leaf Point,Sulengwaseng,,Indonesia,,Food - Snacks,Sales,8259,263,79,13
2/3/2010,44.72,36,7137.07,credit card,95 Donald Junction,Pentéli,,Greece,,Office,Legal,8260,561,10,52
4/24/2021,594.32,366,8717.34,credit card,24 Shelley Avenue,Chittagong,,Bangladesh,4000,Kitchen,Training,8261,385,73,72
7/29/2008,66.88,838,7828.33,debit card,367 Bluestem Avenue,Tuanzhou,,China,,Kitchen,Engineering,8262,852,55,90
10/25/2011,731.71,46,8761.07,credit card,00029 Fair Oaks Court,Sopo,,Indonesia,,Clothing - Pants,Accounting,8263,43,83,36
1/4/2023,893.61,525,3568.04,cash,5 Blaine Avenue,Burgeo,NL,Canada,N9A,Food - Beverages,Training,8264,634,33,34
11/9/2021,357.77,472,3127.63,cash,93697 Dryden Park,Shajing,,China,,Kitchen,Training,8265,925,20,83
6/25/2001,301.19,32,6371.31,credit card,6385 Morning Alley,Dambořice,,Czech Republic,696 35,Food - Frozen Foods,Human Resources,8266,625,67,27
11/20/2000,418.22,903,8871.47,PayPal,51693 Pawling Hill,Ust’-Omchug,,Russia,666137,Food - Snacks,Services,8267,858,60,97
12/4/2018,236.82,243,773.94,PayPal,5 Rieder Hill,Lichinga,,Mozambique,,Food - Beverages,Support,8268,235,98,66
9/26/2011,161.37,938,4321.67,credit card,271 Fair Oaks Court,Maru,,Nigeria,,Kitchen,Sales,8269,910,95,83
4/16/2018,800.82,368,3616.01,cash,96845 Pierstorff Center,Chisht-e Sharīf,,Afghanistan,,Toys,Engineering,8270,754,27,26
1/27/2009,953.17,227,4294.31,cash,23686 Ridgeview Crossing,Melun,A8,France,77050 CEDEX,Kitchen,Human Resources,8271,947,38,61
10/27/2020,112.03,821,2108.92,credit card,09133 4th Way,Tapilon,,Philippines,6013,Food - Snacks,Marketing,8272,836,47,45
12/20/2015,382.94,878,9474.45,PayPal,58 Lerdahl Parkway,Mendes,,Brazil,26700-000,Outdoor,Training,8273,405,81,73
3/18/2020,637.68,285,9588.03,PayPal,2 Merchant Park,Stockholm,AB,Sweden,118 92,Automotive,Research and Development,8274,560,54,97
3/22/2015,678.75,452,1922.48,cash,686 Monica Terrace,Virovitica,,Croatia,33000,Food - Breakfast,Legal,8275,62,48,41
6/30/2012,122.34,584,1984.6,cash,53 Glendale Avenue,Sumbergedong,,Indonesia,,Kitchen,Marketing,8276,487,62,2
8/26/2012,37.8,63,8036.24,cash,45227 International Street,Orly,A8,France,94537 CEDEX,Pets,Support,8277,171,92,57
5/27/2007,975.23,839,5145.74,cash,21 Green Ridge Hill,Lumbatan,,Philippines,9307,Home,Support,8278,64,43,58
7/27/2019,457.74,480,4869.64,cash,931 Kensington Crossing,Krasnyye Chetai,,Russia,429052,Smart Home,Research and Development,8279,736,3,95
12/6/2002,153.13,349,6251.9,credit card,6 Riverside Place,Pórto Chéli,,Greece,,Food - Snacks,Marketing,8280,985,74,100
7/10/2009,347.63,91,559.94,credit card,31 Meadow Vale Crossing,Kunsan,,South Korea,,Clothing - Footwear,Accounting,8281,689,13,10
11/4/2022,885.09,826,455.81,credit card,6187 Boyd Way,Bovec,,Slovenia,5230,Kitchen,Product Management,8282,997,10,51
6/30/2002,12.3,239,7567.75,debit card,30072 Magdeline Trail,Sinegorskiy,,Russia,347014,Food - Oils & Vinegars,Accounting,8283,954,87,7
6/27/2010,741.32,558,103.21,debit card,43 Express Court,Ribeirão,,Brazil,55520-000,Home,Business Development,8284,554,94,15
9/2/2013,130.29,663,7069.52,credit card,439 Schiller Center,Kysyl-Syr,,Russia,678214,Food - Snacks,Business Development,8285,121,2,83
7/11/2018,148.11,358,4399.05,credit card,2956 Prairie Rose Court,Santiago del Torno,,Bolivia,,Food - Canned Goods,Accounting,8286,272,100,43
5/12/2003,623.22,782,2867.72,cash,4 Buell Court,Villa Ascasubi,,Argentina,5935,Food - Frozen,Engineering,8287,862,57,41
12/22/2015,910.03,314,4438.44,credit card,08 Amoth Hill,Xuchang,,China,,Food - Snacks,Services,8288,94,79,37
9/25/2008,921.34,776,184.2,PayPal,750 South Alley,Asikkala,,Finland,17320,Food - Beverages,Product Management,8289,921,64,25
5/17/2019,608.49,513,9799.58,credit card,30650 Utah Center,Chelyabinsk,,Russia,454092,Toys,Services,8290,493,42,7
1/11/2002,40.97,444,3145.6,credit card,706 Gateway Park,Armen,,Albania,,Food - Condiments,Legal,8291,437,2,76
8/2/2016,983.22,893,111.95,debit card,959 La Follette Point,Sremski Karlovci,,Serbia,,Kitchen,Product Management,8292,463,24,97
12/3/2012,309.96,228,3753.61,PayPal,88621 Algoma Pass,Kingsport,TN,United States,37665,Food - Condiments,Human Resources,8293,266,24,71
6/26/2014,238.41,204,742.4,credit card,10382 Farwell Alley,Ila Orangun,,Nigeria,,Clothing - Outerwear,Research and Development,8294,334,85,15
7/23/2008,688.72,361,4423.34,debit card,20 Cottonwood Plaza,Ocaña,,Colombia,546559,Bathroom,Support,8295,361,65,46
3/12/2023,200.78,655,5399.35,cash,6 Division Junction,Alfta,X,Sweden,822 30,Accessories,Legal,8296,4,59,15
3/22/2002,650.31,815,4915.67,credit card,7 Hollow Ridge Circle,Bira,,Russia,679130,Food - Grains,Support,8297,375,28,43
3/19/2025,164.82,814,3108.44,debit card,878 Moland Plaza,San Narciso,,Philippines,4313,Food - Condiments,Product Management,8298,387,18,6
3/30/2023,502.9,190,7663.56,debit card,7 Hansons Court,Stockholm,AB,Sweden,116 23,Outdoor,Research and Development,8299,917,15,58
6/27/2018,778.51,400,9271.08,debit card,3579 Eastlawn Center,Tolbazy,,Russia,453480,Clothing - Outerwear,Sales,8300,546,42,62
8/14/2005,771.79,421,7357.89,debit card,618 Ronald Regan Road,Angers,B5,France,49033 CEDEX 01,Food - Snacks,Engineering,8301,616,77,64
10/21/2001,38.64,298,9058.35,PayPal,8767 Lighthouse Bay Road,Farīdpur,,Bangladesh,2013,Food - Confectionery,Accounting,8302,704,54,48
11/29/2012,740.46,287,4751.12,PayPal,79 Washington Pass,Werota,,Ethiopia,,Food - Cereal,Accounting,8303,245,80,96
4/19/2013,29.34,116,4139.27,PayPal,686 Memorial Circle,Mainque,,Argentina,8326,Fitness,Training,8304,649,96,28
10/13/2015,171.46,186,4149.16,cash,17 Holy Cross Point,Sibulan,,Philippines,6201,Electronics,Training,8305,890,65,48
8/11/2013,388.08,403,9634.07,PayPal,6584 Mcguire Way,Hucheng,,China,,Food - Seafood,Marketing,8306,945,16,65
9/16/2012,317.16,440,7127.42,debit card,4818 Mesta Place,Xiaotao,,China,,Food - Condiments,Legal,8307,807,35,76
3/30/2016,78.07,356,9290.01,PayPal,0610 Farragut Avenue,Verkhoshizhem’ye,,Russia,613310,Outdoor,Business Development,8308,322,55,74
12/26/2022,712.03,81,3625.73,debit card,474 Cody Lane,Wairinding,,Indonesia,,Outdoor,Training,8309,671,95,4
5/24/2006,457.04,319,922.19,debit card,9888 Mallory Street,Lebak,,Indonesia,,Food - Bakery,Support,8310,710,44,37
5/12/2007,356.19,531,7592.67,cash,094 Almo Way,Kiernozia,,Poland,99-412,Bicycles,Product Management,8311,916,30,59
3/16/2006,9.49,461,9084.64,debit card,2 Vahlen Court,Millau,B3,France,12104 CEDEX,Food,Business Development,8312,272,16,86
12/27/2003,333.56,114,3174.47,credit card,67522 Bluestem Alley,Zhaojia,,China,,Outdoor,Legal,8313,769,96,7
11/14/2023,968.35,672,2730.03,debit card,2137 Union Lane,Farafangana,,Madagascar,,Food - Canned Goods,Training,8314,195,33,70
7/15/2024,481.97,702,2159.51,cash,98 Dixon Avenue,Komorní Lhotka,,Czech Republic,739 53,Food - Beverages,Research and Development,8315,792,85,36
6/4/2009,448.04,329,3467.98,PayPal,26 Meadow Ridge Pass,Yingde’er,,China,,Food - Spreads,Support,8316,957,76,52
1/4/2016,870.24,421,2713.59,credit card,4 Victoria Road,Banyliv,,Ukraine,,Beauty,Sales,8317,209,84,93
10/22/2017,395.02,228,8226.51,debit card,99 Kipling Park,Chamlykskaya,,Russia,352547,Outdoor,Product Management,8318,805,28,78
4/24/2015,114.89,545,2531.05,cash,712 Cody Point,Christchurch,,New Zealand,8144,Food - Condiments,Training,8319,508,76,46
4/21/2022,163.11,743,5597.79,debit card,90 Fremont Terrace,Täby,AB,Sweden,183 60,Food - Frozen Desserts,Training,8320,90,14,46
10/23/2017,675.99,938,5196.77,PayPal,809 Nelson Terrace,Espumoso,,Brazil,99400-000,Kitchen,Research and Development,8321,691,43,17
1/9/2007,990.23,466,3535.03,credit card,2 Iowa Park,Kaiaf,,Gambia,,Kitchen,Engineering,8322,422,26,25
6/29/2020,652.36,370,4971.75,PayPal,6216 Schmedeman Plaza,Entre Rios,,Brazil,89862-000,Pets,Sales,8323,449,12,99
5/30/2006,645.71,321,131.3,debit card,8 Anderson Court,Dongqinggou,,China,,Food - Meat,Business Development,8324,789,22,8
11/10/2023,469.89,808,9797.89,credit card,68797 Garrison Junction,Korenëvo,,Russia,393925,Food - Breakfast,Product Management,8325,50,54,1
10/1/2022,929.41,428,7622.99,credit card,16964 Oneill Trail,Łaziska Górne,,Poland,43-173,Food - Meat,Sales,8326,713,65,70
9/6/2012,378.22,740,5848.25,credit card,65090 Sachtjen Hill,Coalaque,,Peru,,Kitchen,Engineering,8327,411,89,93
